rho_1,theta_1,field_strength
3.6e+06,2.01062,11.7886
4.2e+06,2.01062,9.13402
4.8e+06,2.01062,7.20531
5.4e+06,2.01062,5.77169
6e+06,2.01062,4.68564
0,2.07345,56.9914
600000,2.07345,52.3522
1.2e+06,2.07345,40.4374
1.8e+06,2.07345,29.1364
2.4e+06,2.07345,21.0381
3e+06,2.07345,15.5638
3.6e+06,2.07345,11.8042
4.2e+06,2.07345,9.14568
4.8e+06,2.07345,7.21417
5.4e+06,2.07345,5.77852
6e+06,2.07345,4.69097
0,2.13628,56.9914
600000,2.13628,52.407
1.2e+06,2.13628,40.4892
1.8e+06,2.13628,29.1745
2.4e+06,2.13628,21.0653
3e+06,2.13628,15.5834
3.6e+06,2.13628,11.8186
4.2e+06,2.13628,9.15646
4.8e+06,2.13628,7.22237
5.4e+06,2.13628,5.78484
6e+06,2.13628,4.69591
0,2.19911,56.9914
600000,2.19911,52.4573
1.2e+06,2.19911,40.5364
1.8e+06,2.19911,29.2094
2.4e+06,2.19911,21.0902
3e+06,2.19911,15.6014
3.6e+06,2.19911,11.8318
4.2e+06,2.19911,9.16636
4.8e+06,2.19911,7.2299
5.4e+06,2.19911,5.79066
6e+06,2.19911,4.70047
0,2.26195,56.9914
600000,2.26195,52.5031
1.2e+06,2.26195,40.5792
1.8e+06,2.26195,29.2409
2.4e+06,2.26195,21.1128
3e+06,2.26195,15.6177
3.6e+06,2.26195,11.8438
4.2e+06,2.26195,9.17539
4.8e+06,2.26195,7.23678
5.4e+06,2.26195,5.79598
6e+06,2.26195,4.70463
0,2.32478,56.9914
600000,2.32478,52.5445
1.2e+06,2.32478,40.6176
1.8e+06,2.32478,29.2693
2.4e+06,2.32478,21.1331
3e+06,2.32478,15.6324
3.6e+06,2.32478,11.8547
4.2e+06,2.32478,9.18353
4.8e+06,2.32478,7.24299
5.4e+06,2.32478,5.80079
6e+06,2.32478,4.70839
0,2.38761,56.9914
600000,2.38761,52.5813
1.2e+06,2.38761,40.6518
1.8e+06,2.38761,29.2945
2.4e+06,2.38761,21.1512
3e+06,2.38761,15.6455
3.6e+06,2.38761,11.8644
4.2e+06,2.38761,9.1908
4.8e+06,2.38761,7.24854
5.4e+06,2.38761,5.80508
6e+06,2.38761,4.71176
0,2.45044,56.9914
600000,2.45044,52.6137
1.2e+06,2.45044,40.6817
1.8e+06,2.45044,29.3166
2.4e+06,2.45044,21.1671
3e+06,2.45044,15.657
3.6e+06,2.45044,11.8729
4.2e+06,2.45044,9.19719
4.8e+06,2.45044,7.25342
5.4e+06,2.45044,5.80886
6e+06,2.45044,4.71472
0,2.51327,56.9914
600000,2.51327,52.6417
1.2e+06,2.51327,40.7075
1.8e+06,2.51327,29.3356
2.4e+06,2.51327,21.1807
3e+06,2.51327,15.667
3.6e+06,2.51327,11.8802
4.2e+06,2.51327,9.2027
4.8e+06,2.51327,7.25764
5.4e+06,2.51327,5.81213
6e+06,2.51327,4.71728
0,2.57611,56.9914
600000,2.57611,52.6652
1.2e+06,2.57611,40.7291
1.8e+06,2.57611,29.3516
2.4e+06,2.57611,21.1922
3e+06,2.57611,15.6753
3.6e+06,2.57611,11.8864
4.2e+06,2.57611,9.20734
4.8e+06,2.57611,7.26119
5.4e+06,2.57611,5.81488
6e+06,2.57611,4.71944
0,2.63894,56.9914
600000,2.63894,52.6843
1.2e+06,2.63894,40.7466
1.8e+06,2.63894,29.3645
2.4e+06,2.63894,21.2015
3e+06,2.63894,15.682
3.6e+06,2.63894,11.8914
4.2e+06,2.63894,9.21111
4.8e+06,2.63894,7.26407
5.4e+06,2.63894,5.81711
6e+06,2.63894,4.7212
0,2.70177,56.9914
600000,2.70177,52.699
1.2e+06,2.70177,40.7601
1.8e+06,2.70177,29.3744
2.4e+06,2.70177,21.2086
3e+06,2.70177,15.6872
3.6e+06,2.70177,11.8952
4.2e+06,2.70177,9.21401
4.8e+06,2.70177,7.26629
5.4e+06,2.70177,5.81883
6e+06,2.70177,4.72255
0,2.7646,56.9914
600000,2.7646,52.7093
1.2e+06,2.7646,40.7695
1.8e+06,2.7646,29.3814
2.4e+06,2.7646,21.2136
3e+06,2.7646,15.6909
3.6e+06,2.7646,11.8979
4.2e+06,2.7646,9.21604
4.8e+06,2.7646,7.26784
5.4e+06,2.7646,5.82004
6e+06,2.7646,4.7235
0,2.82743,56.9914
600000,2.82743,52.7151
1.2e+06,2.82743,40.7748
1.8e+06,2.82743,29.3853
2.4e+06,2.82743,21.2164
3e+06,2.82743,15.6929
3.6e+06,2.82743,11.8994
4.2e+06,2.82743,9.2172
4.8e+06,2.82743,7.26873
5.4e+06,2.82743,5.82073
6e+06,2.82743,4.72404
0,2.89027,56.9914
600000,2.89027,52.7166
1.2e+06,2.89027,40.7762
1.8e+06,2.89027,29.3863
2.4e+06,2.89027,21.2172
3e+06,2.89027,15.6935
3.6e+06,2.89027,11.8998
4.2e+06,2.89027,9.21749
4.8e+06,2.89027,7.26895
5.4e+06,2.89027,5.8209
6e+06,2.89027,4.72417
0,2.9531,56.9914
600000,2.9531,52.7137
1.2e+06,2.9531,40.7735
1.8e+06,2.9531,29.3843
2.4e+06,2.9531,21.2157
3e+06,2.9531,15.6924
3.6e+06,2.9531,11.8991
4.2e+06,2.9531,9.21691
4.8e+06,2.9531,7.2685
5.4e+06,2.9531,5.82056
6e+06,2.9531,4.7239
0,3.01593,56.9914
600000,3.01593,52.7063
1.2e+06,3.01593,40.7668
1.8e+06,3.01593,29.3794
2.4e+06,3.01593,21.2122
3e+06,3.01593,15.6898
3.6e+06,3.01593,11.8971
4.2e+06,3.01593,9.21546
4.8e+06,3.01593,7.2674
5.4e+06,3.01593,5.81969
6e+06,3.01593,4.72322
0,3.07876,56.9914
600000,3.07876,52.6946
1.2e+06,3.07876,40.7561
1.8e+06,3.07876,29.3715
2.4e+06,3.07876,21.2065
3e+06,3.07876,15.6857
3.6e+06,3.07876,11.8941
4.2e+06,3.07876,9.21314
4.8e+06,3.07876,7.26562
